,csii50,fx,csii50/fx,0400,0434,0700,0777,1060,1980,2280,3888,TOUR,WB,YY,CYOU,MOMO,JD,BIDU,BZUN,CTRP,JOBS,NTES,SINA,SOHU,VNET,TAL,YRD,ATHM,BABA,BITA,CMCM,JMEI,LEJU,SFUN,VIPS,WBAI,WUBA
2017-09-11,9171.22,6.53,1404.47473201,4.9000000000000004,3.2599999999999998,349.60000000000002,26.449999999999999,1.27,5.6299999999999999,6.2699999999999996,19.800000000000001,7.6600000000000001,95.480000000000004,93.120000000000005,40.100000000000001,31.890000000000001,39.0,264.89999999999998,33.869999999999997,48.350000000000001,62.049999999999997,276.63,110.48,67.620000000000005,7.6900000000000004,34.909999999999997,50.530000000000001,59.140000000000001,177.31999999999999,50.159999999999997,8.7400000000000002,2.98,1.5,4.2000000000000002,8.25,11.26,67.079999999999998
2017-09-12,9283.45,6.54,1419.48776758,5.0599999999999996,3.2000000000000002,333.0,30.300000000000001,1.29,5.21,6.5899999999999999,18.66,7.6600000000000001,95.480000000000004,93.120000000000005,40.100000000000001,31.890000000000001,39.0,264.89999999999998,33.869999999999997,48.350000000000001,62.049999999999997,276.63,110.48,67.620000000000005,7.6900000000000004,34.909999999999997,50.530000000000001,59.140000000000001,177.31999999999999,50.159999999999997,8.7400000000000002,2.98,1.5,4.2000000000000002,8.25,11.26,67.079999999999998
2017-09-13,9388.63,6.54,1435.57033639,5.0999999999999996,3.3100000000000001,334.0,29.600000000000001,1.3,5.2300000000000004,6.7000000000000002,18.420000000000002,7.6100000000000003,106.09999999999999,78.450000000000003,40.399999999999999,37.310000000000002,45.270000000000003,236.41,37.350000000000001,52.990000000000002,59.619999999999997,270.26999999999998,117.08,54.939999999999998,5.9699999999999998,32.920000000000002,44.07,67.049999999999997,178.97,40.710000000000001,9.4900000000000002,3.2599999999999998,1.6599999999999999,4.29,9.8900000000000006,11.18,67.590000000000003
2017-09-14,9401.36,6.56,1433.13414634,5.1100000000000003,3.2999999999999998,337.0,29.399999999999999,1.3400000000000001,5.2599999999999998,6.6600000000000001,18.420000000000002,7.6799999999999997,106.98,78.870000000000005,40.170000000000002,36.789999999999999,45.25,237.33000000000001,36.460000000000001,52.969999999999999,60.409999999999997,268.5,117.42,55.509999999999998,5.9500000000000002,31.84,44.539999999999999,65.25,177.09999999999999,44.270000000000003,9.6099999999999994,3.1899999999999999,1.6599999999999999,4.3099999999999996,9.8800000000000008,11.109999999999999,68.0
2017-09-15,9369.22,6.55,1430.41526718,5.0800000000000001,3.2400000000000002,338.80000000000001,28.5,1.27,5.2699999999999996,6.6200000000000001,18.280000000000001,7.9000000000000004,106.11,77.109999999999999,39.32,36.57,44.909999999999997,235.21000000000001,37.700000000000003,52.399999999999999,58.659999999999997,271.06999999999999,116.33,55.810000000000002,5.6799999999999997,32.359999999999999,44.719999999999999,65.829999999999998,176.69999999999999,44.32,9.6699999999999999,3.25,1.6599999999999999,4.2199999999999998,10.029999999999999,11.359999999999999,67.150000000000006
2017-09-16,9369.22,6.55,1430.41526718,5.0800000000000001,3.2400000000000002,338.80000000000001,28.5,1.27,5.2699999999999996,6.6200000000000001,18.280000000000001,7.9000000000000004,106.11,77.109999999999999,39.32,36.57,44.909999999999997,235.21000000000001,37.700000000000003,52.399999999999999,58.659999999999997,271.06999999999999,116.33,55.810000000000002,5.6799999999999997,32.359999999999999,44.719999999999999,65.829999999999998,176.69999999999999,44.32,9.6699999999999999,3.25,1.6599999999999999,4.2199999999999998,10.029999999999999,11.359999999999999,67.150000000000006
2017-09-17,9369.22,6.55,1430.41526718,5.0800000000000001,3.2400000000000002,338.80000000000001,28.5,1.27,5.2699999999999996,6.6200000000000001,18.280000000000001,7.9000000000000004,106.11,77.109999999999999,39.32,36.57,44.909999999999997,235.21000000000001,37.700000000000003,52.399999999999999,58.659999999999997,271.06999999999999,116.33,55.810000000000002,5.6799999999999997,32.359999999999999,44.719999999999999,65.829999999999998,176.69999999999999,44.32,9.6699999999999999,3.25,1.6599999999999999,4.2199999999999998,10.029999999999999,11.359999999999999,67.150000000000006
2017-09-18,9564.8,6.57,1455.82952816,5.1500000000000004,3.29,346.0,29.100000000000001,1.27,5.5499999999999998,6.3600000000000003,18.48,8.0399999999999991,104.93000000000001,76.709999999999994,39.310000000000002,36.899999999999999,44.740000000000002,239.06999999999999,40.090000000000003,53.189999999999998,58.68,293.30000000000001,115.06,56.100000000000001,5.9500000000000002,33.009999999999998,45.390000000000001,66.349999999999994,179.97999999999999,45.979999999999997,9.5600000000000005,3.2200000000000002,1.73,4.3099999999999996,10.109999999999999,11.210000000000001,66.840000000000003
2017-09-19,9544.44,6.58,1450.52279635,5.1100000000000003,3.23,344.19999999999999,28.199999999999999,1.27,5.5999999999999996,6.2199999999999998,18.359999999999999,8.0500000000000007,105.34,76.939999999999998,40.039999999999999,36.090000000000003,44.329999999999998,237.84999999999999,38.140000000000001,53.020000000000003,59.939999999999998,287.27999999999997,117.03,55.530000000000001,5.8899999999999997,33.82,45.840000000000003,66.519999999999996,180.06999999999999,46.909999999999997,9.3200000000000003,3.1899999999999999,1.73,4.29,9.8499999999999996,11.18,66.989999999999995
2017-09-20,9507.54,6.57,1447.11415525,5.0899999999999999,3.29,346.39999999999998,28.75,1.29,5.5999999999999996,6.2599999999999998,18.260000000000002,8.0,100.8,76.890000000000001,40.060000000000002,35.060000000000002,44.439999999999998,237.96000000000001,38.270000000000003,53.450000000000003,58.490000000000002,283.56,116.59,55.310000000000002,6.0599999999999996,33.82,44.909999999999997,65.989999999999995,177.94999999999999,47.5,8.9199999999999999,3.1899999999999999,1.75,4.25,9.5500000000000007,11.1,66.980000000000004
